time,amplitude
4.340259818007663473e-01,8.100000000000000255e-02
4.360261015325671008e-01,6.800000000000000488e-02
4.380262212643678543e-01,5.700000000000000205e-02
4.400263409961686634e-01,4.599999999999999922e-02
4.420264607279694169e-01,3.599999999999999728e-02
4.440265804597701704e-01,2.699999999999999969e-02
4.460267001915709240e-01,1.700000000000000122e-02
4.480268199233716775e-01,8.999999999999999320e-03
4.500269396551724865e-01,1.000000000000000021e-03
4.520270593869732401e-01,-6.000000000000000125e-03
4.540271791187739936e-01,-1.200000000000000025e-02
4.560272988505747471e-01,-1.700000000000000122e-02
4.580274185823755562e-01,-2.000000000000000042e-02
4.600275383141763097e-01,-2.400000000000000050e-02
4.620276580459770632e-01,-2.699999999999999969e-02
4.640277777777778168e-01,-3.099999999999999978e-02
4.660278975095786258e-01,-3.400000000000000244e-02
4.680280172413793793e-01,-3.699999999999999817e-02
4.700281369731801329e-01,-3.899999999999999994e-02
4.720282567049808864e-01,-4.100000000000000172e-02
4.740283764367816954e-01,-4.399999999999999745e-02
4.760284961685824490e-01,-4.599999999999999922e-02
4.780286159003832025e-01,-4.800000000000000100e-02
4.800287356321839560e-01,-5.099999999999999672e-02
4.820288553639847096e-01,-5.299999999999999850e-02
4.840289750957855186e-01,-5.500000000000000028e-02
4.860290948275862721e-01,-5.500000000000000028e-02
4.880292145593870257e-01,-5.500000000000000028e-02
4.900293342911877792e-01,-5.500000000000000028e-02
4.920294540229885882e-01,-5.399999999999999939e-02
4.940295737547893418e-01,-5.199999999999999761e-02
4.960296934865900953e-01,-5.099999999999999672e-02
4.980298132183908488e-01,-4.900000000000000189e-02
5.000299329501916024e-01,-4.700000000000000011e-02
5.020300526819924114e-01,-4.700000000000000011e-02
5.040301724137932204e-01,-4.700000000000000011e-02
5.060302921455939185e-01,-4.800000000000000100e-02
5.080304118773947275e-01,-5.000000000000000278e-02
5.100305316091954255e-01,-5.099999999999999672e-02
5.120306513409962346e-01,-5.199999999999999761e-02
5.140307710727970436e-01,-5.199999999999999761e-02
5.160308908045977416e-01,-5.099999999999999672e-02
5.180310105363985507e-01,-4.900000000000000189e-02
5.200311302681992487e-01,-4.700000000000000011e-02
5.220312500000000577e-01,-4.700000000000000011e-02
5.240313697318008668e-01,-4.800000000000000100e-02
5.260314894636015648e-01,-5.000000000000000278e-02
5.280316091954023738e-01,-5.299999999999999850e-02
5.300317289272031829e-01,-5.500000000000000028e-02
5.320318486590038809e-01,-5.500000000000000028e-02
5.340319683908046899e-01,-5.399999999999999939e-02
5.360320881226053880e-01,-5.299999999999999850e-02
5.380322078544061970e-01,-5.099999999999999672e-02
5.400323275862070060e-01,-5.000000000000000278e-02
5.420324473180077041e-01,-4.900000000000000189e-02
5.440325670498085131e-01,-4.900000000000000189e-02
5.460326867816092111e-01,-4.800000000000000100e-02
5.480328065134100202e-01,-4.800000000000000100e-02
5.500329262452108292e-01,-4.800000000000000100e-02
5.520330459770115272e-01,-4.800000000000000100e-02
5.540331657088123363e-01,-4.900000000000000189e-02
5.560332854406131453e-01,-5.000000000000000278e-02
5.580334051724138433e-01,-5.099999999999999672e-02
5.600335249042146524e-01,-5.099999999999999672e-02
5.620336446360153504e-01,-5.099999999999999672e-02
5.640337643678161594e-01,-5.099999999999999672e-02
5.660338840996169685e-01,-5.000000000000000278e-02
5.680340038314176665e-01,-5.000000000000000278e-02
5.700341235632184755e-01,-5.000000000000000278e-02
5.720342432950192846e-01,-5.000000000000000278e-02
5.740343630268199826e-01,-4.900000000000000189e-02
5.760344827586207916e-01,-4.900000000000000189e-02
5.780346024904214897e-01,-4.800000000000000100e-02
5.800347222222222987e-01,-4.800000000000000100e-02
5.820348419540231077e-01,-4.800000000000000100e-02
5.840349616858238058e-01,-4.700000000000000011e-02
5.860350814176246148e-01,-4.700000000000000011e-02
5.880352011494253128e-01,-4.700000000000000011e-02
5.900353208812261219e-01,-4.800000000000000100e-02
5.920354406130269309e-01,-4.900000000000000189e-02
5.940355603448276289e-01,-5.099999999999999672e-02
5.960356800766284380e-01,-5.399999999999999939e-02
